station_id,station_name
281,Rua Cel. Joaquim Ferreira Lobo II
282,Cunha Horta
286,Turiassu
287,Largo Padre Péricles
290,Metrô Marechal Deodoro
292,Rua Domingos de Moraes
293,Metrô Ana Rosa
294,Metrô Ana Rosa II
295,Vergueiro
296,Largo Ana Rosa
297,SESC Vila Mariana
298,Av. Cons. Rodrigues Alves
299,R. Bag�
300,Caravelas
301,R. França Pinto
302,Tangará
303,Rio Grande
304,Gandavo
305,MUBA
306,Placeholder
307,Metrô Vila Mariana
308,Rua Cunha
309,269
310,R. Cel. Lisboa
311,Luis Góis
312,Parque da Bicicletas
313,Metrô AACD Servidor
314,R. José de Magalhães
315,Metrô Hospital São Paulo
316,Alameda das Boninas
317,R. Leonardo Nunes
318,Gabriel de Rezende Passos
319,Metrô Moema
320,Av. Jandira
321,Gaivota
322,Metrô Eucaliptos
323,Eucaliptos
324,Canário
325,Pintassilgo
326,Inhamb�
327,Arapan�s
328,R. Demóstenes
329,Bandeirantes
331,Rua Nebraska
332,Rua Nova York
333,Rua Flórida 53
334,R. Pe. Antônio
335,R. Ribeiro do Vale
336,Flórida 1020
337,Castilho
338,Pitú
339,R. Min. Luiz Gallotti
340,R. Oscar Gomes Cardim II
341,Pássaros e Flores
342,R. Santo Arc�dio
343,Jurubatuba
344,ROCHAVERÁ
345,R. Henrique Fischer
346,Bacaetava
347,Metrô Brooklin
348,R. JoÃ£o Pais
349,Cancioneiro de Évora
354,Praça Oswaldo Cruz
355,R. Dr. Rafael de Barros
358,Shopping Villa Lobos
359,CENU
370,Placeholder
388,Placeholder
390,Ifood pedal Fradique
397,Ifood Pedal Itaim
398,Ifood pedal Fradique
403,TEMBICI- Base
423,PAO DE ACUCAR 02
428,Ifood pedal Fradique
429,Ifood Faria Lima (Bolsão)
436,Bikesp Faria Lima
437,Bikesp Faria Lima
